procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 8  0      0 5057584 116648 1313836    0    0     0    24  511 4969  3  1 96  0  0 2021-12-09 10:20:51
 0  0      0 5057836 116680 1313960    0    0     0   804 1555 11077 12  4 79  6  0 2021-12-09 10:20:52
 0  0      0 5058340 116680 1313964    0    0     0     0  876 6305  4  3 93  0  0 2021-12-09 10:20:53
 0  0      0 5058332 116720 1314104    0    0     0   748 1632 10240 12  4 80  4  0 2021-12-09 10:20:54
 0  0      0 5058332 116720 1314104    0    0     0     0  750 5771  6  2 93  0  0 2021-12-09 10:20:55
 0  0      0 5058592 116720 1314104    0    0     0    12  826 6725  8  4 89  0  0 2021-12-09 10:20:56
 0  0      0 5058584 116760 1314208    0    0     0   728 1674 12088 11  7 77  5  0 2021-12-09 10:20:57
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 3  0      0 5058584 116760 1314208    0    0     0     0  807 6517  7  3 90  0  0 2021-12-09 10:20:58
 0  0      0 5058080 116796 1314304    0    0     0   680 1397 10074 11  3 83  4  0 2021-12-09 10:20:59
 0  0      0 5058080 116796 1314304    0    0     0     0  669 5241  6  3 91  0  0 2021-12-09 10:21:00
 0  0      0 5057828 116796 1314312    0    0     0     0  756 5886  5  3 93  0  0 2021-12-09 10:21:01
 0  0      0 5056064 116868 1314440    0    0     0   748 1410 11208 15  3 78  5  0 2021-12-09 10:21:02
 0  0      0 5055812 116868 1314440    0    0     0     0  571 5068  3  4 93  0  0 2021-12-09 10:21:03
 0  0      0 5055560 116920 1314508    0    0     0   724 1625 11902 12  4 79  5  0 2021-12-09 10:21:04
 0  0      0 5054552 116920 1314548    0    0     0     0  784 6428  6  4 90  0  0 2021-12-09 10:21:05
 0  0      0 5054552 116920 1314548    0    0     0     0  724 5498  6  3 91  0  0 2021-12-09 10:21:06
 0  0      0 5053040 116968 1314664    0    0     0   756 1284 10847 12  7 76  5  0 2021-12-09 10:21:07
 0  0      0 5053544 116968 1314664    0    0     0     4  578 4881  4  3 93  0  0 2021-12-09 10:21:08
 0  1      0 5053292 117016 1314784    0    0     0   700 1318 10814 13  6 78  4  0 2021-12-09 10:21:09
 0  0      0 5053020 117016 1314784    0    0     0    52  950 7010  8  3 89  0  0 2021-12-09 10:21:10
 0  0      0 5053292 117016 1314788    0    0     0    68  672 5301  3  3 94  0  0 2021-12-09 10:21:11
 0  0      0 5053292 117068 1314912    0    0     0   744 1220 10301 13  4 78  5  0 2021-12-09 10:21:12
 6  0      0 5053292 117068 1314912    0    0     0     0  780 5839  3  3 94  0  0 2021-12-09 10:21:13
 0  1      0 5053040 117104 1314912    0    0     0   380 1090 8850  8  4 85  3  0 2021-12-09 10:21:14
 0  0      0 5053536 117116 1315008    0    0     0   312 1422 10237 10  5 84  1  0 2021-12-09 10:21:15
 1  0      0 5053284 117116 1315008    0    0     0   292  740 5852  8  1 91  0  0 2021-12-09 10:21:16
 7  0      0 5051772 117140 1315140    0    0     0   780 1518 10628 12  6 76  6  0 2021-12-09 10:21:17
 1  0      0 5051016 117140 1315140    0    0     0     0 1156 7394  6  2 92  0  0 2021-12-09 10:21:18
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 2  1      0 5051016 117140 1315140    0    0     0    76  970 6214  5  4 91  0  0 2021-12-09 10:21:19
 0  0      0 5050260 117172 1315244    0    0     0   640 1513 11309 14 10 69  7  0 2021-12-09 10:21:20
 0  0      0 5050764 117172 1315244    0    0     0    20 1000 7116  4  2 94  0  0 2021-12-09 10:21:21
 0  0      0 5050780 117196 1315352    0    0     0   704 1594 10861 12  5 78  5  0 2021-12-09 10:21:22
 0  0      0 5051032 117196 1315352    0    0     0     0  937 6893  6  3 92  0  0 2021-12-09 10:21:23
 0  0      0 5050984 117196 1315352    0    0     0     0  763 5934  4  3 93  0  0 2021-12-09 10:21:24
 0  0      0 5051260 117224 1315480    0    0     0   696 1380 11397 13  5 77  6  0 2021-12-09 10:21:25
 0  0      0 5050252 117224 1315480    0    0     0    16  753 5714  6  4 90  0  0 2021-12-09 10:21:26
 6  1      0 5049992 117276 1315780    0    0     0  1472 1725 14160 13  6 74  7  0 2021-12-09 10:21:27
 0  0      0 5050000 117296 1315788    0    0     0   340  963 6430  8  2 88  3  0 2021-12-09 10:21:28
 0  0      0 5050000 117296 1315788    0    0     0     0  827 6163  6  2 91  0  0 2021-12-09 10:21:29
 0  0      0 5052268 117308 1312784    0    0     0   868 1938 13390 12 10 70  8  0 2021-12-09 10:21:30
 0  0      0 5052016 117308 1312784    0    0     0     0  853 5843  5  3 92  0  0 2021-12-09 10:21:31
 1  1      0 5051764 117336 1312756    0    0     0   656 1504 10055 11  3 81  5  0 2021-12-09 10:21:32
 1  0      0 5052016 117340 1312904    0    0     0   100 1202 8019  6  3 91  1  0 2021-12-09 10:21:33
 0  0      0 5052016 117340 1312904    0    0     0     0  888 6323  3  3 94  0  0 2021-12-09 10:21:34
 0  0      0 5053024 117380 1313008    0    0     0   708 1843 12149 10  6 80  5  0 2021-12-09 10:21:35
 0  0      0 5053024 117380 1313008    0    0     0     0  804 5896  5  3 92  0  0 2021-12-09 10:21:36
 9  0      0 5053024 117396 1313044    0    0     0   476 1202 8951 10  4 84  3  0 2021-12-09 10:21:37
 0  0      0 5053276 117412 1313116    0    0     0   272 1391 9107  9  5 85  1  0 2021-12-09 10:21:38
 0  0      0 5053276 117412 1313116    0    0     0     0  898 6234  6  1 93  0  0 2021-12-09 10:21:39
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 1  0      0 5053256 117468 1313224    0    0     0   788 1448 11400 13  3 78  6  0 2021-12-09 10:21:40
 6  0      0 5053780 117468 1313232    0    0     0     0  828 6080  4  3 93  0  0 2021-12-09 10:21:41
 1  1      0 5053780 117476 1313228    0    0     0   260  893 7084  6  2 91  2  0 2021-12-09 10:21:42
 0  0      0 5053528 117500 1313340    0    0     0   436 1445 10878 12  6 79  2  0 2021-12-09 10:21:43
 7  0      0 5053276 117500 1313340    0    0     0     4  809 5819  4  2 94  0  0 2021-12-09 10:21:44
 0  0      0 5053528 117552 1313452    0    0     0   752 1507 9974 11  5 78  7  0 2021-12-09 10:21:45
 0  0      0 5053528 117552 1313456    0    0     0     0  755 5788  5  3 92  0  0 2021-12-09 10:21:46
 0  0      0 5059324 117552 1313460    0    0     0    92  747 5713  8  1 91  0  0 2021-12-09 10:21:47
 0  0      0 5058064 117572 1313568    0    0     0   732 1283 9574 16  5 74  6  0 2021-12-09 10:21:48
 2  0      0 5057812 117572 1313572    0    0     0     0  921 7237  6  3 91  0  0 2021-12-09 10:21:49
 0  0      0 5057308 117608 1313672    0    0     0   736 1401 11113 13  5 77  6  0 2021-12-09 10:21:50
 0  0      0 5056804 117608 1313680    0    0     0     0  702 5725  5  4 92  0  0 2021-12-09 10:21:51
 0  0      0 5056552 117608 1313680    0    0     0   352  924 6821  4  3 92  1  0 2021-12-09 10:21:52
 0  0      0 5056552 117644 1313800    0    0     0   760 1428 11381 12  5 76  7  0 2021-12-09 10:21:53
 0  0      0 5056552 117644 1313800    0    0     0     0  917 5782  5  2 93  0  0 2021-12-09 10:21:54
 0  0      0 5056048 117676 1313864    0    0     0   724 1491 11159 11  5 77  6  0 2021-12-09 10:21:55
 0  0      0 5055468 117676 1313900    0    0     0     4  903 6417  9  4 87  0  0 2021-12-09 10:21:56
 1  0      0 5055544 117680 1313904    0    0     0    16 1025 6852  6  4 90  0  0 2021-12-09 10:21:57
 1  0      0 5056048 117728 1314008    0    0     0   752 1645 11987 21  7 69  4  0 2021-12-09 10:21:58
 0  0      0 5056048 117728 1314008    0    0     0     0  799 6196  5  3 93  0  0 2021-12-09 10:21:59
 7  1      0 5056300 117752 1314044    0    0     0   344 1021 7944  9  4 84  3  0 2021-12-09 10:22:00
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 2  0      0 5056300 117792 1314136    0    0     0   456 1326 9330 14  6 79  2  0 2021-12-09 10:22:01
 0  0      0 5056048 117792 1314136    0    0     0     4  857 6551  5  2 93  0  0 2021-12-09 10:22:02
 0  0      0 5056048 117804 1314236    0    0     0   720 1376 11521 13  6 76  5  0 2021-12-09 10:22:03
 0  0      0 5056048 117804 1314236    0    0     0     0  835 6274  5  2 93  0  0 2021-12-09 10:22:04
